                Time          Cycles PC       Instr    Mnemonic
                4501               3 0000000a 00800013 addi             x0, x0, 8          
               71501              70 00000114 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               72501              71 00000118 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               73501              72 0000011c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               74501              73 00000120 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               75501              74 00000124 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               76501              75 00000128 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               77501              76 0000012c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               78501              77 00000130 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               79501              78 00000134 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               80501              79 00000138 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               81501              80 0000013c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               82501              81 00000140 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               83501              82 00000144 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               84501              83 00000148 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               85501              84 0000014c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               86501              85 00000150 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               87501              86 00000154 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               88501              87 00000158 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               89501              88 0000015c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               90501              89 00000160 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               91501              90 00000164 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               92501              91 00000168 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               93501              92 0000016c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               94501              93 00000170 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               95501              94 00000174 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               96501              95 00000178 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               97501              96 0000017c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               98501              97 00000180 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               99501              98 00000184 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              100501              99 00000188 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              101501             100 0000018c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              102501             101 00000190 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              103501             102 00000194 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
